#training_samples - #eopchs - #training rate - # minibatch size


54000_30_3_10 - 28^2 x 100 x 10
===============================

06/18/2018


1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Network configuration: 784 x 100 x 10
Training batch size: 54000
Validation batch size: 6000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 3.000000
Cost function: Quadratic
L2 regularization: 0.000000

Epoch 1 - training accuracy 0.283056 - validation accuracy 0.275167 - cost 0.371127
Epoch 2 - training accuracy 0.296593 - validation accuracy 0.290333 - cost 0.361279
Epoch 3 - training accuracy 0.431407 - validation accuracy 0.427833 - cost 0.315548
Epoch 4 - training accuracy 0.771000 - validation accuracy 0.764000 - cost 0.130913
Epoch 5 - training accuracy 0.871833 - validation accuracy 0.864667 - cost 0.078700
Epoch 6 - training accuracy 0.966463 - validation accuracy 0.956833 - cost 0.031182
Epoch 7 - training accuracy 0.977907 - validation accuracy 0.967667 - cost 0.020723
Epoch 8 - training accuracy 0.980944 - validation accuracy 0.969167 - cost 0.017728
Epoch 9 - training accuracy 0.982870 - validation accuracy 0.968500 - cost 0.016452
Epoch 10 - training accuracy 0.984185 - validation accuracy 0.970167 - cost 0.016071
Epoch 11 - training accuracy 0.982648 - validation accuracy 0.965667 - cost 0.018649
Epoch 12 - training accuracy 0.988259 - validation accuracy 0.974667 - cost 0.011477
Epoch 13 - training accuracy 0.988278 - validation accuracy 0.973000 - cost 0.011498
Epoch 14 - training accuracy 0.987741 - validation accuracy 0.972167 - cost 0.011814
Epoch 15 - training accuracy 0.990296 - validation accuracy 0.973333 - cost 0.009646
Epoch 16 - training accuracy 0.990278 - validation accuracy 0.974333 - cost 0.009405
Epoch 17 - training accuracy 0.990685 - validation accuracy 0.972000 - cost 0.009137
Epoch 18 - training accuracy 0.991815 - validation accuracy 0.973333 - cost 0.007655
Epoch 19 - training accuracy 0.991704 - validation accuracy 0.973500 - cost 0.007366
Epoch 20 - training accuracy 0.992426 - validation accuracy 0.971667 - cost 0.007274
Epoch 21 - training accuracy 0.993222 - validation accuracy 0.975667 - cost 0.006036
Epoch 22 - training accuracy 0.993537 - validation accuracy 0.975000 - cost 0.005381
Epoch 23 - training accuracy 0.993741 - validation accuracy 0.974667 - cost 0.005214
Epoch 24 - training accuracy 0.993778 - validation accuracy 0.975000 - cost 0.005072
Epoch 25 - training accuracy 0.994074 - validation accuracy 0.973500 - cost 0.004609
Epoch 26 - training accuracy 0.994222 - validation accuracy 0.976500 - cost 0.004388
Epoch 27 - training accuracy 0.994407 - validation accuracy 0.975167 - cost 0.003981
Epoch 28 - training accuracy 0.994519 - validation accuracy 0.975500 - cost 0.004257
Epoch 29 - training accuracy 0.994648 - validation accuracy 0.974667 - cost 0.003730
Epoch 30 - training accuracy 0.994704 - validation accuracy 0.975500 - cost 0.003585

Generating 10000 training samples for test data...
Image 8: is 5, classified as 6
Image 4152: is 5, classified as 1
Image 4156: is 2, classified as 8
Image 4199: is 7, classified as 9
Image 4201: is 1, classified as 7
Image 4224: is 9, classified as 7
Image 4248: is 2, classified as 8
Image 4284: is 9, classified as 6
Image 4289: is 2, classified as 7
Image 4306: is 3, classified as 7
Image 4355: is 5, classified as 3
Image 4369: is 9, classified as 4
Image 4425: is 9, classified as 4
Image 4433: is 7, classified as 2
Image 4443: is 3, classified as 2
Image 4449: is 6, classified as 0
Image 4497: is 8, classified as 7
Image 4500: is 9, classified as 1
Image 4504: is 2, classified as 5
Image 4536: is 6, classified as 5
Image 4547: is 6, classified as 4
Image 4571: is 6, classified as 8
Image 4575: is 4, classified as 2
Image 4601: is 8, classified as 4
Image 4635: is 3, classified as 5
Image 4731: is 8, classified as 7
Image 4763: is 5, classified as 6
Image 4807: is 8, classified as 3
Image 4823: is 9, classified as 4
Image 4833: is 3, classified as 2
Image 4860: is 4, classified as 9
Image 4880: is 0, classified as 8
Image 4918: is 9, classified as 4
Image 4956: is 8, classified as 4
Image 4966: is 7, classified as 9
Image 5140: is 3, classified as 5
Image 5331: is 1, classified as 6
Image 5457: is 1, classified as 8
Image 5634: is 2, classified as 3
Image 5642: is 1, classified as 5
Image 5734: is 3, classified as 7
Image 5749: is 8, classified as 6
Image 5842: is 4, classified as 7
Image 5887: is 7, classified as 0
Image 5888: is 4, classified as 0
Image 5926: is 4, classified as 9
Image 5937: is 5, classified as 3
Image 5955: is 3, classified as 8
Image 5973: is 3, classified as 8
Image 5982: is 5, classified as 3
Image 6035: is 2, classified as 0
Image 6045: is 3, classified as 5
Image 6059: is 3, classified as 5
Image 6065: is 3, classified as 8
Image 6091: is 9, classified as 0
Image 6166: is 9, classified as 3
Image 6172: is 9, classified as 5
Image 6173: is 9, classified as 0
Image 6400: is 0, classified as 4
Image 6532: is 0, classified as 5
Image 6542: is 3, classified as 4
Image 6558: is 6, classified as 2
Image 6568: is 9, classified as 4
Image 6571: is 9, classified as 7
Image 6597: is 0, classified as 7
Image 6598: is 5, classified as 3
Image 6625: is 8, classified as 4
Image 6641: is 8, classified as 5
Image 6651: is 0, classified as 2
Image 6783: is 1, classified as 6
Image 6847: is 6, classified as 4
Image 6981: is 5, classified as 3
Image 7216: is 0, classified as 6
Image 7434: is 4, classified as 8
Image 7451: is 5, classified as 6
Image 7797: is 5, classified as 6
Image 7915: is 7, classified as 8
Image 7921: is 8, classified as 2
Image 8020: is 1, classified as 8
Image 8094: is 2, classified as 8
Image 8183: is 8, classified as 5
Image 8277: is 3, classified as 5
Image 8325: is 0, classified as 6
Image 8339: is 8, classified as 2
Image 8406: is 4, classified as 9
Image 8408: is 8, classified as 6
Image 8502: is 5, classified as 8
Image 8527: is 4, classified as 9
Image 9009: is 7, classified as 2
Image 9015: is 7, classified as 2
Image 9016: is 0, classified as 5
Image 9019: is 7, classified as 2
Image 9024: is 7, classified as 2
Image 9280: is 8, classified as 5
Image 9517: is 9, classified as 4
Image 9530: is 9, classified as 8
Image 9587: is 9, classified as 4
Image 9634: is 0, classified as 1
Image 9664: is 2, classified as 7
Image 9679: is 6, classified as 3
Image 9692: is 9, classified as 7
Image 9700: is 2, classified as 8
Image 9719: is 5, classified as 0
Image 9726: is 2, classified as 5
Image 9729: is 5, classified as 6
Image 9745: is 4, classified as 2
Image 9749: is 5, classified as 6
Image 9764: is 4, classified as 8
Image 9768: is 2, classified as 0
Image 9770: is 5, classified as 6
Image 9777: is 5, classified as 0
Image 9792: is 4, classified as 9
Image 9856: is 9, classified as 5
Image 9888: is 6, classified as 0
Image 9891: is 9, classified as 7
Image 9904: is 2, classified as 0
Image 9944: is 3, classified as 5
Image 9982: is 5, classified as 2
Accuracy: 0.975700

------------------------------------------------------------------------------------

54000_30_0.5_25 - 28^2 x 100 x 10
=================================

06/18/2018

1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Network configuration: 784 x 100 x 10
Training batch size: 54000
Validation batch size: 6000
Minibatch size: 25
Number of minibatches: 2160
Learning rate: 0.500000
Cost function: Cross-Entropy
L2 regularization: 5.000000

Epoch 1 - training accuracy 0.942296 - validation accuracy 0.939000 - cost 0.438796
Epoch 2 - training accuracy 0.959907 - validation accuracy 0.951833 - cost 0.339500
Epoch 3 - training accuracy 0.969481 - validation accuracy 0.959667 - cost 0.296283
Epoch 4 - training accuracy 0.974833 - validation accuracy 0.965333 - cost 0.279355
Epoch 5 - training accuracy 0.972426 - validation accuracy 0.961167 - cost 0.295422
Epoch 6 - training accuracy 0.981704 - validation accuracy 0.970167 - cost 0.251577
Epoch 7 - training accuracy 0.982259 - validation accuracy 0.968833 - cost 0.245492
Epoch 8 - training accuracy 0.983000 - validation accuracy 0.968833 - cost 0.245680
Epoch 9 - training accuracy 0.984611 - validation accuracy 0.970667 - cost 0.240320
Epoch 10 - training accuracy 0.985796 - validation accuracy 0.969000 - cost 0.233122
Epoch 11 - training accuracy 0.985537 - validation accuracy 0.971833 - cost 0.233280
Epoch 12 - training accuracy 0.988259 - validation accuracy 0.973667 - cost 0.224984
Epoch 13 - training accuracy 0.988389 - validation accuracy 0.972667 - cost 0.220483
Epoch 14 - training accuracy 0.988481 - validation accuracy 0.973000 - cost 0.223347
Epoch 15 - training accuracy 0.988407 - validation accuracy 0.972333 - cost 0.229579
Epoch 16 - training accuracy 0.989463 - validation accuracy 0.974000 - cost 0.221879
Epoch 17 - training accuracy 0.989537 - validation accuracy 0.974833 - cost 0.223470
Epoch 18 - training accuracy 0.988241 - validation accuracy 0.971333 - cost 0.231460
Epoch 19 - training accuracy 0.990426 - validation accuracy 0.974500 - cost 0.216419
Epoch 20 - training accuracy 0.990296 - validation accuracy 0.973333 - cost 0.218614
Epoch 21 - training accuracy 0.991407 - validation accuracy 0.975500 - cost 0.213084
Epoch 22 - training accuracy 0.991333 - validation accuracy 0.974167 - cost 0.213110
Epoch 23 - training accuracy 0.991074 - validation accuracy 0.974000 - cost 0.217616
Epoch 24 - training accuracy 0.992352 - validation accuracy 0.975167 - cost 0.209507
Epoch 25 - training accuracy 0.990463 - validation accuracy 0.973000 - cost 0.222861
Epoch 26 - training accuracy 0.992278 - validation accuracy 0.975167 - cost 0.213082
Epoch 27 - training accuracy 0.991222 - validation accuracy 0.975167 - cost 0.212347
Epoch 28 - training accuracy 0.992574 - validation accuracy 0.975667 - cost 0.210021
Epoch 29 - training accuracy 0.992222 - validation accuracy 0.975333 - cost 0.212677
Epoch 30 - training accuracy 0.991833 - validation accuracy 0.974333 - cost 0.212830

Generating 10000 training samples for test data...
Image 115: is 4, classified as 9
Image 149: is 2, classified as 9
Image 247: is 4, classified as 2
Image 259: is 6, classified as 0
Image 321: is 2, classified as 7
Image 340: is 5, classified as 3
Image 445: is 6, classified as 0
Image 448: is 9, classified as 8
Image 449: is 3, classified as 5
Image 613: is 2, classified as 8
Image 646: is 2, classified as 6
Image 659: is 2, classified as 8
Image 684: is 7, classified as 3
Image 691: is 8, classified as 4
Image 707: is 4, classified as 9
Image 720: is 5, classified as 8
Image 740: is 4, classified as 9
Image 846: is 7, classified as 9
Image 881: is 4, classified as 9
Image 924: is 2, classified as 7
Image 938: is 3, classified as 5
Image 947: is 8, classified as 9
Image 951: is 5, classified as 4
Image 965: is 6, classified as 0
Image 982: is 3, classified as 2
Image 1014: is 6, classified as 5
Image 1039: is 7, classified as 2
Image 1044: is 6, classified as 8
Image 1112: is 4, classified as 6
Image 1114: is 3, classified as 8
Image 1166: is 3, classified as 5
Image 1181: is 6, classified as 1
Image 1182: is 6, classified as 8
Image 1226: is 7, classified as 2
Image 1232: is 9, classified as 4
Image 1242: is 4, classified as 9
Image 1247: is 9, classified as 5
Image 1260: is 7, classified as 1
Image 1289: is 5, classified as 9
Image 1299: is 5, classified as 7
Image 1319: is 8, classified as 3
Image 1328: is 7, classified as 9
Image 1393: is 5, classified as 3
Image 1500: is 7, classified as 1
Image 1522: is 7, classified as 9
Image 1530: is 8, classified as 7
Image 1549: is 4, classified as 2
Image 1554: is 9, classified as 8
Image 1609: is 2, classified as 6
Image 1621: is 0, classified as 6
Image 1681: is 3, classified as 7
Image 1709: is 9, classified as 3
Image 1717: is 8, classified as 0
Image 1721: is 7, classified as 9
Image 1754: is 7, classified as 2
Image 1790: is 2, classified as 9
Image 1901: is 9, classified as 4
Image 1941: is 7, classified as 2
Image 1982: is 6, classified as 5
Image 1987: is 0, classified as 9
Image 2016: is 7, classified as 2
Image 2024: is 7, classified as 9
Image 2035: is 5, classified as 3
Image 2043: is 4, classified as 8
Image 2044: is 2, classified as 7
Image 2053: is 4, classified as 9
Image 2070: is 7, classified as 9
Image 2098: is 2, classified as 0
Image 2109: is 3, classified as 7
Image 2118: is 6, classified as 0
Image 2125: is 5, classified as 9
Image 2130: is 4, classified as 9
Image 2135: is 6, classified as 1
Image 2182: is 1, classified as 2
Image 2185: is 0, classified as 8
Image 2189: is 9, classified as 1
Image 2224: is 5, classified as 8
Image 2272: is 8, classified as 0
Image 2293: is 9, classified as 6
Image 2299: is 2, classified as 8
Image 2369: is 5, classified as 9
Image 2371: is 4, classified as 9
Image 2387: is 9, classified as 1
Image 2406: is 9, classified as 8
Image 2408: is 3, classified as 9
Image 2422: is 6, classified as 4
Image 2447: is 4, classified as 9
Image 2488: is 2, classified as 4
Image 2514: is 4, classified as 9
Image 2610: is 2, classified as 8
Image 2648: is 9, classified as 0
Image 2654: is 6, classified as 1
Image 2713: is 0, classified as 8
Image 2730: is 7, classified as 4
Image 2771: is 4, classified as 9
Image 2810: is 5, classified as 3
Image 2877: is 4, classified as 7
Image 2896: is 8, classified as 0
Image 2915: is 7, classified as 3
Image 2921: is 3, classified as 2
Image 2927: is 3, classified as 2
Image 2939: is 9, classified as 7
Image 2953: is 3, classified as 5
Image 2995: is 6, classified as 8
Image 3030: is 6, classified as 8
Image 3073: is 1, classified as 2
Image 3117: is 5, classified as 9
Image 3172: is 4, classified as 9
Image 3189: is 7, classified as 6
Image 3333: is 7, classified as 9
Image 3405: is 4, classified as 9
Image 3422: is 6, classified as 0
Image 3451: is 7, classified as 9
Image 3490: is 4, classified as 9
Image 3503: is 9, classified as 1
Image 3520: is 6, classified as 4
Image 3533: is 4, classified as 9
Image 3549: is 3, classified as 8
Image 3558: is 5, classified as 0
Image 3559: is 8, classified as 5
Image 3567: is 8, classified as 5
Image 3681: is 2, classified as 8
Image 3718: is 4, classified as 9
Image 3751: is 7, classified as 2
Image 3757: is 8, classified as 3
Image 3767: is 7, classified as 2
Image 3780: is 4, classified as 6
Image 3796: is 2, classified as 8
Image 3811: is 2, classified as 3
Image 3853: is 6, classified as 5
Image 3893: is 5, classified as 6
Image 3902: is 5, classified as 3
Image 3906: is 1, classified as 3
Image 3941: is 4, classified as 2
Image 3943: is 3, classified as 5
Image 3968: is 5, classified as 3
Image 4017: is 4, classified as 9
Image 4065: is 0, classified as 8
Image 4075: is 8, classified as 3
Image 4078: is 9, classified as 3
Image 4152: is 5, classified as 1
Image 4163: is 9, classified as 0
Image 4176: is 2, classified as 7
Image 4199: is 7, classified as 9
Image 4224: is 9, classified as 7
Image 4248: is 2, classified as 8
Image 4289: is 2, classified as 7
Image 4306: is 3, classified as 7
Image 4382: is 4, classified as 9
Image 4497: is 8, classified as 7
Image 4536: is 6, classified as 5
Image 4578: is 7, classified as 9
Image 4639: is 8, classified as 9
Image 4740: is 3, classified as 5
Image 4763: is 5, classified as 6
Image 4807: is 8, classified as 3
Image 4814: is 6, classified as 4
Image 4860: is 4, classified as 9
Image 4880: is 0, classified as 8
Image 4990: is 3, classified as 2
Image 5165: is 0, classified as 8
Image 5331: is 1, classified as 6
Image 5457: is 1, classified as 8
Image 5600: is 7, classified as 9
Image 5634: is 2, classified as 3
Image 5642: is 1, classified as 5
Image 5734: is 3, classified as 7
Image 5735: is 5, classified as 6
Image 5835: is 7, classified as 9
Image 5887: is 7, classified as 0
Image 5926: is 4, classified as 9
Image 5936: is 4, classified as 9
Image 5937: is 5, classified as 3
Image 5955: is 3, classified as 8
Image 5972: is 5, classified as 3
Image 5973: is 3, classified as 8
Image 6015: is 0, classified as 5
Image 6023: is 3, classified as 9
Image 6045: is 3, classified as 9
Image 6059: is 3, classified as 9
Image 6065: is 3, classified as 8
Image 6166: is 9, classified as 3
Image 6172: is 9, classified as 8
Image 6173: is 9, classified as 8
Image 6555: is 8, classified as 9
Image 6560: is 9, classified as 8
Image 6597: is 0, classified as 7
Image 6598: is 5, classified as 3
Image 6625: is 8, classified as 7
Image 6651: is 0, classified as 8
Image 6783: is 1, classified as 6
Image 7434: is 4, classified as 8
Image 7886: is 2, classified as 4
Image 8020: is 1, classified as 8
Image 8062: is 5, classified as 8
Image 8094: is 2, classified as 8
Image 8246: is 3, classified as 9
Image 8277: is 3, classified as 9
Image 8406: is 4, classified as 9
Image 8408: is 8, classified as 6
Image 8519: is 7, classified as 3
Image 8520: is 4, classified as 9
Image 8522: is 8, classified as 6
Image 8527: is 4, classified as 9
Image 8952: is 3, classified as 9
Image 9009: is 7, classified as 2
Image 9015: is 7, classified as 2
Image 9019: is 7, classified as 2
Image 9024: is 7, classified as 2
Image 9071: is 1, classified as 8
Image 9587: is 9, classified as 4
Image 9634: is 0, classified as 1
Image 9664: is 2, classified as 7
Image 9679: is 6, classified as 3
Image 9729: is 5, classified as 6
Image 9745: is 4, classified as 2
Image 9749: is 5, classified as 6
Image 9768: is 2, classified as 0
Image 9770: is 5, classified as 0
Image 9777: is 5, classified as 0
Image 9839: is 2, classified as 7
Image 9858: is 6, classified as 8
Image 9944: is 3, classified as 8
Image 9975: is 3, classified as 8
Image 9982: is 5, classified as 3
Accuracy: 0.977500

------------------------------------------------------------------------------------

54000_30_3_25 - 28^2 x 200 x 10
===============================

04/24/18

1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Training batch size: 54000
Validation batch size: 6000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 0.5
Cost function: Cross-Entropy
L2 regularization: 2.0

Epoch 1 - training accuracy 0.960519 - validation accuracy 0.958000 - cost 0.299400
Epoch 2 - training accuracy 0.969093 - validation accuracy 0.960833 - cost 0.263938
Epoch 3 - training accuracy 0.979333 - validation accuracy 0.967333 - cost 0.219235
Epoch 4 - training accuracy 0.983704 - validation accuracy 0.976500 - cost 0.197628
Epoch 5 - training accuracy 0.986315 - validation accuracy 0.972000 - cost 0.186496
Epoch 6 - training accuracy 0.987463 - validation accuracy 0.973833 - cost 0.189337
Epoch 7 - training accuracy 0.990167 - validation accuracy 0.978000 - cost 0.173142
Epoch 8 - training accuracy 0.990259 - validation accuracy 0.978500 - cost 0.172558
Epoch 9 - training accuracy 0.992722 - validation accuracy 0.977833 - cost 0.164229
Epoch 10 - training accuracy 0.988593 - validation accuracy 0.972000 - cost 0.189566
Epoch 11 - training accuracy 0.992722 - validation accuracy 0.979667 - cost 0.157173
Epoch 12 - training accuracy 0.992741 - validation accuracy 0.974500 - cost 0.161541
Epoch 13 - training accuracy 0.995222 - validation accuracy 0.979333 - cost 0.150766
Epoch 14 - training accuracy 0.993981 - validation accuracy 0.979167 - cost 0.155500
Epoch 15 - training accuracy 0.995593 - validation accuracy 0.980833 - cost 0.150347
Epoch 16 - training accuracy 0.995907 - validation accuracy 0.980000 - cost 0.142327
Epoch 17 - training accuracy 0.994130 - validation accuracy 0.974833 - cost 0.158805
Epoch 18 - training accuracy 0.996259 - validation accuracy 0.979500 - cost 0.141659
Epoch 19 - training accuracy 0.996389 - validation accuracy 0.979500 - cost 0.141273
Epoch 20 - training accuracy 0.996370 - validation accuracy 0.980667 - cost 0.140710
Epoch 21 - training accuracy 0.995963 - validation accuracy 0.980833 - cost 0.149332
Epoch 22 - training accuracy 0.995519 - validation accuracy 0.977000 - cost 0.147120
Epoch 23 - training accuracy 0.996537 - validation accuracy 0.980333 - cost 0.139043
Epoch 24 - training accuracy 0.994611 - validation accuracy 0.978500 - cost 0.151577
Epoch 25 - training accuracy 0.996685 - validation accuracy 0.977833 - cost 0.140194
Epoch 26 - training accuracy 0.993759 - validation accuracy 0.978833 - cost 0.157511
Epoch 27 - training accuracy 0.997019 - validation accuracy 0.978833 - cost 0.138093
Epoch 28 - training accuracy 0.995537 - validation accuracy 0.977667 - cost 0.144893
Epoch 29 - training accuracy 0.997352 - validation accuracy 0.982667 - cost 0.135469
Epoch 30 - training accuracy 0.996259 - validation accuracy 0.981000 - cost 0.147829

Generating 10000 training samples for test data...
Image 247: is 4, classified as 2
Image 259: is 6, classified as 0
Image 321: is 2, classified as 7
Image 340: is 5, classified as 3
Image 445: is 6, classified as 0
Image 449: is 3, classified as 5
Image 495: is 8, classified as 0
Image 551: is 7, classified as 1
Image 582: is 8, classified as 2
Image 583: is 2, classified as 8
Image 605: is 7, classified as 9
Image 613: is 2, classified as 8
Image 619: is 1, classified as 8
Image 628: is 3, classified as 9
Image 646: is 2, classified as 6
Image 684: is 7, classified as 3
Image 691: is 8, classified as 4
Image 720: is 5, classified as 8
Image 740: is 4, classified as 9
Image 846: is 7, classified as 9
Image 947: is 8, classified as 9
Image 951: is 5, classified as 4
Image 956: is 1, classified as 2
Image 965: is 6, classified as 5
Image 1014: is 6, classified as 5
Image 1039: is 7, classified as 2
